time,signal
0.00000,-0
0.00833,-0
0.01667,-0
0.02500,0
0.03333,0
0.04167,0
0.05000,0
0.05833,1
0.06667,1
0.07500,1
0.08333,1
0.09167,1
0.10000,1
0.10833,1
0.11667,1
0.12500,1
0.13333,1
0.14167,1
0.15000,1
0.15833,1
0.16667,1
0.17500,1
0.18333,1
0.19167,1
0.20000,1
0.20833,1
0.21667,1
0.22500,1
0.23333,1
0.24167,2
0.25000,2
0.25833,2
0.26667,2
0.27500,2
0.28333,2
0.29167,2
0.30000,1
0.30833,1
0.31667,1
0.32500,1
0.33333,0
0.34167,0
0.35000,0
0.35833,-0
0.36667,-0
0.37500,-0
0.38333,-0
0.39167,-0
0.40000,-0
0.40833,-0
0.41667,-0
0.42500,0
0.43333,0
0.44167,1
0.45000,1
0.45833,1
0.46667,2
0.47500,1
0.48333,0
0.49167,0
0.50000,-0
0.50833,-0
0.51667,-0
0.52500,-0
0.53333,0
0.54167,0
0.55000,1
0.55833,1
0.56667,1
0.57500,1
0.58333,0
0.59167,0
0.60000,1
0.60833,1
0.61667,1
0.62500,1
0.63333,1
0.64167,1
0.65000,1
0.65833,1
0.66667,2
0.67500,2
0.68333,2
0.69167,2
0.70000,2
0.70833,2
0.71667,1
0.72500,1
0.73333,1
0.74167,1
0.75000,1
0.75833,1
0.76667,1
0.77500,1
0.78333,1
0.79167,1
0.80000,1
0.80833,1
0.81667,1
0.82500,0
0.83333,0
0.84167,1
0.85000,1
0.85833,1
0.86667,1
0.87500,2
0.88333,2
0.89167,2
0.90000,2
0.90833,2
0.91667,2
0.92500,1
0.93333,1
0.94167,1
0.95000,1
0.95833,2
0.96667,2
0.97500,1
0.98333,1
0.99167,1
1.00000,1
1.00833,1
1.01667,1
1.02500,1
1.03333,1
1.04167,1
1.05000,1
1.05833,1
1.06667,2
1.07500,1
1.08333,1
1.09167,1
1.10000,1
1.10833,1
1.11667,1
1.12500,1
1.13333,1
1.14167,2
1.15000,2
1.15833,2
1.16667,2
1.17500,2
1.18333,2
1.19167,2
1.20000,1
1.20833,1
1.21667,1
1.22500,2
1.23333,2
1.24167,2
1.25000,2
1.25833,2
1.26667,2
1.27500,2
1.28333,2
1.29167,2
1.30000,1
1.30833,1
1.31667,1
1.32500,1
1.33333,0
1.34167,0
1.35000,1
1.35833,0
1.36667,0
1.37500,0
1.38333,0
1.39167,1
1.40000,1
1.40833,1
1.41667,1
1.42500,1
1.43333,1
1.44167,2
1.45000,2
1.45833,2
1.46667,2
1.47500,1
1.48333,1
1.49167,1
1.50000,1
1.50833,0
1.51667,0
1.52500,1
1.53333,1
1.54167,1
1.55000,1
1.55833,1
1.56667,1
1.57500,1
1.58333,1
1.59167,0
1.60000,-0
1.60833,0
1.61667,0
1.62500,1
1.63333,1
1.64167,1
1.65000,1
1.65833,1
1.66667,1
1.67500,1
1.68333,1
1.69167,1
1.70000,0
1.70833,0
1.71667,0
1.72500,1
1.73333,0
1.74167,0
1.75000,-0
1.75833,-0
1.76667,0
1.77500,0
1.78333,-0
1.79167,0
1.80000,0
1.80833,1
1.81667,1
1.82500,1
1.83333,1
1.84167,1
1.85000,1
1.85833,1
1.86667,2
1.87500,2
1.88333,2
1.89167,2
1.90000,2
1.90833,2
1.91667,2
1.92500,2
1.93333,2
1.94167,1
1.95000,1
1.95833,0
1.96667,-0
1.97500,-0
1.98333,0
1.99167,0
2.00000,1
2.00833,1
2.01667,1
2.02500,0
2.03333,0
2.04167,1
2.05000,1
2.05833,1
2.06667,1
2.07500,1
2.08333,1
2.09167,1
2.10000,1
2.10833,1
2.11667,1
2.12500,1
2.13333,1
2.14167,1
2.15000,1
2.15833,2
2.16667,1
2.17500,1
2.18333,1
2.19167,1
2.20000,1
2.20833,1
2.21667,1
2.22500,1
2.23333,2
2.24167,2
2.25000,2
2.25833,2
2.26667,2
2.27500,1
2.28333,1
2.29167,1
2.30000,1
2.30833,1
2.31667,1
2.32500,1
2.33333,1
2.34167,1
2.35000,1
2.35833,1
2.36667,1
2.37500,1
2.38333,1
2.39167,1
2.40000,1
2.40833,1
2.41667,1
2.42500,1
2.43333,0
2.44167,1
2.45000,1
2.45833,1
2.46667,1
2.47500,1
2.48333,1
2.49167,1
2.50000,1
2.50833,1
2.51667,1
2.52500,1
2.53333,1
2.54167,1
2.55000,1
2.55833,1
2.56667,1
2.57500,1
2.58333,1
2.59167,0
2.60000,0
2.60833,0
2.61667,0
2.62500,0
2.63333,0
